tick,simulation_time_s,w_pressed,a_pressed,d_pressed,shift_pressed,r_pressed,throttle,steer,brake,speed_mps,speed_kmh,speed_mph,heading_rad,heading_deg,location_x,location_y,location_z
179,8.950,1,0,0,0,0,1.000,0.0000,0.000,31.089,111.921,69.544,1.662456,95.252,-326.298,517.826,0.002
180,9.000,1,0,0,0,0,1.000,0.0000,0.000,31.245,112.481,69.892,1.656733,94.924,-326.511,519.370,0.002
181,9.050,1,0,0,0,0,1.000,0.0000,0.000,31.403,113.051,70.247,1.652366,94.674,-326.710,520.924,0.002
182,9.100,1,0,0,0,0,1.000,0.0000,0.000,31.564,113.631,70.607,1.649045,94.483,-326.895,522.488,0.002
183,9.150,1,0,0,0,0,1.000,0.0000,0.000,31.727,114.217,70.972,1.646524,94.339,-327.069,524.061,0.002
184,9.200,1,0,0,0,0,1.000,0.0000,0.000,31.891,114.809,71.339,1.644617,94.230,-327.233,525.643,0.002
185,9.250,1,0,0,0,0,1.000,0.0000,0.000,32.056,115.403,71.708,1.643174,94.147,-327.388,527.235,0.002
186,9.300,1,0,0,0,0,1.000,0.0000,0.000,32.222,115.999,72.079,1.642081,94.084,-327.535,528.835,0.002
187,9.350,1,0,0,0,0,1.000,0.0000,0.000,32.388,116.596,72.449,1.641253,94.037,-327.677,530.445,0.002
188,9.400,1,0,0,0,0,1.000,0.0000,0.000,32.553,117.192,72.820,1.640622,94.001,-327.814,532.063,0.002
189,9.450,1,0,0,0,0,1.000,0.0000,0.000,32.719,117.787,73.189,1.640142,93.973,-327.947,533.690,0.002
190,9.500,1,0,0,0,0,1.000,0.0000,0.000,32.883,118.381,73.558,1.639774,93.952,-328.076,535.325,0.002
191,9.550,1,0,0,0,0,1.000,0.0000,0.000,33.048,118.973,73.926,1.639491,93.936,-328.203,536.969,0.002
192,9.600,1,0,0,0,0,1.000,0.0000,0.000,33.212,119.564,74.294,1.639274,93.923,-328.327,538.621,0.002
193,9.650,1,0,0,0,0,1.000,0.0000,0.000,33.376,120.153,74.660,1.639105,93.914,-328.450,540.282,0.002
194,9.700,1,0,0,0,0,1.000,0.0000,0.000,33.539,120.740,75.025,1.638974,93.906,-328.572,541.951,0.002
195,9.750,1,0,0,0,0,1.000,0.0000,0.000,33.702,121.326,75.389,1.638873,93.901,-328.693,543.628,0.002
196,9.800,1,0,1,0,0,1.000,0.0800,0.000,33.864,121.910,75.752,1.638793,93.896,-328.813,545.313,0.002
197,9.850,1,0,0,0,0,1.000,0.0000,0.000,34.012,122.442,76.082,1.635120,93.685,-328.928,547.006,0.002
198,9.900,1,0,0,0,0,1.000,0.0000,0.000,34.174,123.025,76.444,1.628141,93.286,-329.039,548.708,0.002
199,9.950,1,0,0,0,0,1.000,0.0000,0.000,34.335,123.605,76.805,1.622829,92.981,-329.147,550.417,0.002
200,10.000,1,0,0,0,0,1.000,0.0000,0.000,34.495,124.182,77.164,1.618776,92.749,-329.252,552.135,0.002
201,10.050,1,0,0,0,0,1.000,0.0000,0.000,34.655,124.757,77.521,1.615675,92.571,-329.354,553.862,0.002
202,10.100,1,0,0,0,0,1.000,0.0000,0.000,34.814,125.331,77.877,1.613296,92.435,-329.451,555.596,0.002
203,10.150,1,0,0,0,0,1.000,0.0000,0.000,34.973,125.903,78.233,1.611470,92.330,-329.544,557.339,0.002
204,10.200,1,0,0,0,0,1.000,0.0000,0.000,35.132,126.475,78.588,1.610063,92.250,-329.633,559.089,0.002
205,10.250,1,0,0,0,0,1.000,0.0000,0.000,35.291,127.046,78.943,1.608980,92.188,-329.719,560.848,0.002
206,10.300,1,0,0,0,0,1.000,0.0000,0.000,35.449,127.617,79.297,1.608142,92.140,-329.801,562.615,0.002
207,10.350,1,0,0,0,0,1.000,0.0000,0.000,35.607,128.186,79.651,1.607495,92.103,-329.881,564.390,0.002
208,10.400,1,0,1,0,0,1.000,0.0800,0.000,35.765,128.755,80.005,1.606992,92.074,-329.959,566.173,0.002
